"","city","fy_joined","last_fy_reported","2021-2022","2022-2023","2023-2024","2024-2025","2025-2026"
"1","Amador","2021","2025-2026",1,1,1,1,1
"2","Arcata","2021","2025-2026",1,1,1,1,1
"3","Avalon","2021","2025-2026",1,1,1,1,1
"4","Belvedere","2021","2025-2026",1,1,1,1,1
"5","Blue Lake","2021","2025-2026",1,1,1,1,1
"6","Calimesa","2021","2025-2026",1,1,1,1,1
"7","Calistoga","2021","2025-2026",1,1,1,1,1
"8","Citrus Heights","2021","2025-2026",1,1,1,1,1
"9","Clearlake","2021","2025-2026",1,1,1,1,1
"10","Cloverdale","2021","2025-2026",1,1,1,1,1
"11","Coalinga","2021","2025-2026",1,1,1,1,1
"12","Cotati","2021","2025-2026",1,1,1,1,1
"13","Eureka","2021","2025-2026",1,1,1,1,1
"14","Ferndale","2021","2025-2026",1,1,1,1,1
"15","Fort Bragg","2021","2025-2026",1,1,1,1,1
"16","Fortuna","2021","2025-2026",1,1,1,1,1
"17","Grass Valley","2021","2025-2026",1,1,1,1,1
"18","Healdsburg","2021","2025-2026",1,1,1,1,1
"19","Highland","2021","2025-2026",1,1,1,1,1
"20","Industry","2024","2025-2026",0,0,0,1,1
"21","Lakeport","2021","2025-2026",1,1,1,1,1
"22","Maywood","2024","2025-2026",0,0,0,1,1
"23","Menifee","2021","2025-2026",1,1,1,1,1
"24","Nevada City","2021","2025-2026",1,1,1,1,1
"25","Placentia","2021","2025-2026",1,1,1,1,1
"26","Placerville","2021","2025-2026",1,1,1,1,1
"27","Plymouth","2021","2025-2026",1,1,1,1,1
"28","Point Arena","2021","2025-2026",1,1,1,1,1
"29","Rancho Cucamonga","2021","2025-2026",1,1,1,1,1
"30","Rancho Santa Margarita","2021","2025-2026",1,1,1,1,1
"31","Rohnert Park","2021","2025-2026",1,1,1,1,1
"32","San Juan Bautista","2021","2025-2026",1,1,1,1,1
"33","Sebastopol","2021","2025-2026",1,1,1,1,1
"34","Sierra Madre","2021","2025-2026",1,1,1,1,1
"35","Sonoma","2021","2025-2026",1,1,1,1,1
"36","South Lake Tahoe","2021","2025-2026",1,1,1,1,1
"37","St. Helena","2021","2025-2026",1,1,1,1,1
"38","Tehama","2021","2025-2026",1,1,1,1,1
"39","Trinidad","2021","2025-2026",1,1,1,1,1
"40","Truckee","2021","2025-2026",1,1,1,1,1
"41","Twentynine Palms","2021","2025-2026",1,1,1,1,1
"42","Ukiah","2021","2025-2026",1,1,1,1,1
"43","Upland","2024","2025-2026",0,0,0,1,1
"44","Watsonville","2021","2025-2026",1,1,1,1,1
"45","Wheatland","2021","2025-2026",1,1,1,1,1
"46","Wildomar","2021","2025-2026",1,1,1,1,1
"47","Willits","2021","2025-2026",1,1,1,1,1
"48","Windsor","2021","2025-2026",1,1,1,1,1
"49","Yountville","2021","2025-2026",1,1,1,1,1
"50","Yucaipa","2021","2025-2026",1,1,1,1,1
"51","Yucca Valley","2021","2025-2026",1,1,1,1,1
