"","city","fy_joined","last_fy_reported","2010-2011","2011-2012","2012-2013","2013-2014","2014-2015","2015-2016","2016-2017","2017-2018","2018-2019","2019-2020","2020-2021"
"1","Arcata",NA,"2020-2021",1,1,1,1,1,1,1,1,1,1,1
"2","Cloverdale","1976","2020-2021",1,1,1,1,1,1,1,1,1,1,1
"3","Cotati","1976","2020-2021",1,1,1,1,1,1,1,1,1,1,1
"4","Eureka",NA,"2020-2021",1,1,1,1,1,1,1,1,1,1,1
"5","Fort Bragg",NA,"2020-2021",1,1,1,1,1,1,1,1,1,1,1
"6","Fortuna",NA,"2020-2021",1,1,1,1,1,1,1,1,1,1,1
"7","Healdsburg","1976","2020-2021",1,1,1,1,1,1,1,1,1,1,1
"8","Lakeport",NA,"2020-2021",1,1,1,1,1,1,1,1,1,1,1
"9","Rohnert Park","1976","2020-2021",1,1,1,1,1,1,1,1,1,1,1
"10","Sebastopol","1976","2020-2021",1,1,1,1,1,1,1,1,1,1,1
"11","Sonoma","1976","2020-2021",1,1,1,1,1,1,1,1,1,1,1
"12","St. Helena",NA,"2020-2021",1,1,1,1,1,1,1,1,1,1,1
"13","Ukiah","1976","2020-2021",1,1,1,1,1,1,1,1,1,1,1
"14","Willits",NA,"2020-2021",1,1,1,1,1,1,1,1,1,1,1
"15","Windsor",NA,"2020-2021",1,1,1,1,1,1,1,1,1,1,1
